image_path,class_label,attributes,caption,split,instance_id
images/team14_wrist_watch (27).jpg,clothing_wristwatch,color:unknown;material:metal;pattern:unknown,new small yellow metal watch from top,val,Team14_YellowWatch_G
images/team14_wrist_watch (28).jpg,clothing_wristwatch,color:unknown;material:metal;pattern:unknown,new small yellow metal watch from front,val,Team14_YellowWatch_H
images/team14_wrist_watch (29).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather watch from front,val,Team14_BlackWatch_K
images/team14_wrist_watch (30).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black analog wrist watch,train,Team14_BlackWatch_L
images/team14_wrist_watch (31).jpg,clothing_wristwatch,color:black;material:metal;pattern:unknown,new small black metal analog watch,train,Team14_BlackWatch_M
images/team14_wrist_watch (32).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal watch from side,train,Team14_SilverWatch_H
images/team14_wrist_watch (33).jpg,clothing_wristwatch,color:black;material:metal;pattern:unknown,new small black metal watch from back,val,Team14_BlackWatch_N
images/team14_wrist_watch (35).jpg,clothing_wristwatch,color:white;material:metal;pattern:unknown,new small silver metal watch analog,train,Team14_SilverWatch_J
images/team14_wrist_watch (36).jpg,clothing_wristwatch,color:black;material:metal;pattern:unknown,new small black metal watch analog,train,Team14_BlackWatch_O
images/team14_wrist_watch (37).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal watch flipped over,val,Team14_SilverWatch_K
images/team14_wrist_watch (39).jpg,clothing_wristwatch,color:blue;material:unknown;pattern:unknown,new small blue leather watch lying straight,train,Team14_BlueWatch_B
images/team14_wrist_watch (40).jpg,clothing_wristwatch,color:blue;material:unknown;pattern:unknown,new small blue leather watch from front,train,Team14_BlueWatch_C
images/team14_wrist_watch (41).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather watch from top,train,Team14_BlackWatch_P
images/team14_wrist_watch (42).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small metal silver watch from top,train,Team14_SilverWatch_L
images/team14_wrist_watch (44).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather watch from side,train,Team14_BlackWatch_R
images/team14_wrist_watch (45).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather smart watch,train,Team14_BlackWatch_S
images/team14_wrist_watch (46).jpg,clothing_wristwatch,color:unknown;material:metal;pattern:unknown,new small yellow metal watch from side,val,Team14_YellowWatch_I
images/team14_wrist_watch (47).jpg,clothing_wristwatch,color:unknown;material:plastic;pattern:unknown,new small orange rubber smart watch,train,Team14_OrangeWatch_A
images/team14_wrist_watch (48).jpg,clothing_wristwatch,color:unknown;material:plastic;pattern:unknown,new small orange rubber smart watch sideways,train,Team14_OrangeWatch_B
images/team14_wrist_watch (49).jpg,clothing_wristwatch,color:unknown;material:plastic;pattern:unknown,new small orange rubber smart watch from side,train,Team14_OrangeWatch_C
images/team14_wrist_watch (50).jpg,clothing_wristwatch,color:black;material:plastic;pattern:unknown,new small black plastic watch from back,train,Team14_BlackWatch_T
images/team14_wrist_watch (51).jpg,clothing_wristwatch,color:unknown;material:metal;pattern:unknown,new small yellow metal watch from side,val,Team14_YellowWatch_J
images/team14_wrist_watch (52).jpg,clothing_wristwatch,color:unknown;material:plastic;pattern:unknown,new small orange rubber smart watch from top,val,Team14_OrangeWatch_D
images/team14_wrist_watch (53).jpg,clothing_wristwatch,color:unknown;material:plastic;pattern:unknown,new small orange rubber smart watch placed diagonally,val,Team14_OrangeWatch_E
images/team14_wrist_watch (55).jpg,clothing_wristwatch,color:black;material:plastic;pattern:unknown,new small black plastic smart watch from top,train,Team14_BlackWatch_U
images/team14_wrist_watch (56).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal analog watch face,train,Team14_SIlverWatch_M
images/team14_wrist_watch (57).jpg,clothing_wristwatch,color:unknown;material:unknown;pattern:unknown,new small yellow leather watch from side,train,Team14_YellowWatch_L
images/team14_wrist_watch (58).jpg,clothing_wristwatch,color:unknown;material:plastic;pattern:unknown,new small black plastic smart watch face,train,Team14_BlackWatch_V
images/team14_wrist_watch (59).jpg,clothing_wristwatch,color:black;material:metal;pattern:unknown,new small black metal watch flipped over,train,Team14_BlackWatch_W
images/team14_wrist_watch (60).jpg,clothing_wristwatch,color:blue;material:plastic;pattern:unknown,new small blue rubber analog watch from front,val,Team14_BlueWatch_D
images/team14_wrist_watch (61).jpg,clothing_wristwatch,color:blue;material:plastic;pattern:unknown,new small blue analog rubber watch sideways,train,Team14_BlueWatch_E
images/team14_wrist_watch (62).jpg,clothing_wristwatch,color:blue;material:unknown;pattern:unknown,new small blue leather analog watch,train,Team14_BlueWatch_F
images/team14_wrist_watch (63).jpg,clothing_wristwatch,color:black;material:metal;pattern:unknown,new small black metal analog watch sideways,train,Team14_BlackWatch_X
images/team14_wrist_watch (64).jpg,clothing_wristwatch,color:blue;material:unknown;pattern:unknown,new small blue analog leather watch sideways,train,Team14_BlueWatch_G
images/team14_wrist_watch (65).jpg,clothing_wristwatch,color:silver;material:plastic;pattern:unknown,new small silver rubber watch from side,train,Team14_SilverWatch_N
images/team14_wrist_watch (66).jpg,clothing_wristwatch,color:blue;material:plastic;pattern:unknown,new small blue rubber watch from side,train,Team14_BlueWatch_H
images/team14_wrist_watch (67).jpg,clothing_wristwatch,color:black;material:plastic;pattern:unknown,new small black plastic smart watch from back,train,Team14_BlackWatch_Y
images/team14_wrist_watch (68).jpg,clothing_wristwatch,color:black;material:metal;pattern:unknown,new small black metal analog watch from front,train,Team14_BlackWatch_Z
images/team14_wrist_watch (69).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal analog watch from front,val,Team14_SilverWatch_O
images/team14_wrist_watch (70).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather watch from top,train,Team14_BlackWatch_AA
images/team14_wrist_watch (71).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal watch from back,train,Team14_SilverWatch_P
images/team14_wrist_watch (72).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal analog watch face,train,Team14_SilverWatch_Q
images/team14_wrist_watch (73).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather watch from side,train,Team14_BlackWatch_AB
images/team14_wrist_watch (74).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather watch from top,val,Team14_BlackWatch_AC
images/team14_wrist_watch (75).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal analog watch sideways,train,Team14_SilverWatch_R
images/team14_wrist_watch (76).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal analog watch sideways,train,Team14_SilverWatch_S
images/team14_wrist_watch (77).jpg,clothing_wristwatch,color:blue;material:unknown;pattern:unknown,new small blue leather analog watch,train,Team14_BlueWatch_I
images/team14_wrist_watch (78).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather analog watch,train,Team14_BlackWatch_AD
images/team14_wrist_watch (79).jpg,clothing_wristwatch,color:black;material:metal;pattern:unknown,new small black metal analog watch,train,Team14_BlackWatch_AE
images/team14_wrist_watch (80).jpg,clothing_wristwatch,color:unknown;material:unknown;pattern:unknown,new small brown analog leather watch,train,Team14_BrownWatch_A
images/team14_wrist_watch (81).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal analog watch,val,Team14_SilverWatch_T
images/team14_wrist_watch (82).jpg,clothing_wristwatch,color:unknown;material:unknown;pattern:unknown,new small leather watch from back,train,Team14_UnkWatch_A
images/team14_wrist_watch (83).jpg,clothing_wristwatch,color:unknown;material:unknown;pattern:unknown,new small brown analog leather watch,train,Team14_BrownWatch_B
images/team14_wrist_watch (84).jpg,clothing_wristwatch,color:unknown;material:unknown;pattern:unknown,new small leather watch from side,train,Team14_UnkWatch_B
images/team14_wrist_watch (85).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather analog watch,train,Team14_BlackWatch_AF
images/team14_wrist_watch (86).jpg,clothing_wristwatch,color:unknown;material:unknown;pattern:unknown,new small brown leather watch from side,train,Team14_BrownWatch_C
images/team14_wrist_watch (87).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal analog watch from side,train,Team14_SilverWatch_W
images/team14_wrist_watch (88).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather analog watch,train,Team14_BlackWatch_AG
images/team14_wrist_watch (89).jpg,clothing_wristwatch,color:silver;material:metal;pattern:unknown,new small silver metal analog watch from front,train,Team14_SilverWatch_U
images/team14_wrist_watch (90).jpg,clothing_wristwatch,color:unknown;material:metal;pattern:unknown,new small metal watch from side,train,Team14_UnkWatch_C
images/team14_wrist_watch (91).jpg,clothing_wristwatch,color:blue;material:unknown;pattern:unknown,new small blue leather analog watch from top,train,Team14_BlueWatch_J
images/team14_wrist_watch (92).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather analog watch from top,train,Team14_BlackWatch_AH
images/team14_wrist_watch (93).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather analog watch from top,train,Team14_BlackWatch_AI
images/team14_wrist_watch (94).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather analog watch from front,train,Team14_BlackWatch_AJ
images/team14_wrist_watch (95).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black leather analog watch sideways,train,Team14_BlackWatch_AK
images/team14_wrist_watch (96).jpg,clothing_wristwatch,color:black;material:plastic;pattern:unknown,new small black plastic smart watch from top,train,Team14_BlackWatch_AL
images/team14_wrist_watch (97).jpg,clothing_wristwatch,color:black;material:plastic;pattern:unknown,new small black plastic smart watch sideways,train,Team14_BlackWatch_AM
images/team14_wrist_watch (98).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black smart watch from side,train,Team14_BlackWatch_AN
images/team14_wrist_watch (99).jpg,clothing_wristwatch,color:black;material:plastic;pattern:unknown,new small black plastic smart watch from behind,train,Team14_BlackWatch_AO
images/team14_wrist_watch (100).jpg,clothing_wristwatch,color:black;material:unknown;pattern:unknown,new small black smart watch from side,train,Team14_BlackWatch_AP
images/team14_notebook (1).jpg,stationery_notebook,color:green;material:unknown;pattern:unknown,new large green paperback notebook sideways,train,Team14_GreenNotebook_A
images/team14_notebook (2).jpg,stationery_notebook,color:green;material:unknown;pattern:unknown,new large green paperback notebook upside down,train,Team14_GreenNotebook_B
images/team14_notebook (3).jpg,stationery_notebook,color:green;material:unknown;pattern:unknown,new large green paperback notebook flipped over,val,Team14_GreenNotebook_C
images/team14_notebook (4).jpg,stationery_notebook,color:green;material:unknown;pattern:unknown,new large green paperback notebook flipped over,train,Team14_GreenNotebook_D
images/team14_notebook (5).jpg,stationery_notebook,color:green;material:unknown;pattern:unknown,new large green paperback notebook from top,train,Team14_GreenNotebook_E
images/team14_notebook (6).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large pink paperback notebook from front,train,Team14_PinkNotebook_A
images/team14_notebook (7).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large yellow paperback notebook flipped over,train,Team14_YellowNotebook_A
images/team14_notebook (8).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large pink paperback notebook from side,train,Team14_PinkNotebook_B
images/team14_notebook (9).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large yellow paperback notebook upside down,train,Team14_YellowNotebook_B
images/team14_notebook (10).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large pink paperback notebook sideways,train,Team14_PinkNotebook_C
images/team14_notebook (11).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large pink paperback notebook placed diagonally right,train,Team14_PinkNotebook_D
images/team14_notebook (12).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large yellow paperback notebook sideways,train,Team14_YellowNotebook_C
images/team14_notebook (13).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large pink paperback notebook standing upright,train,Team14_PinkNotebook_E
images/team14_notebook (14).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large yellow paperback notebook placed diagonally right,train,Team14_YellowNotebook_D
images/team14_notebook (15).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large yellow paperback notebook from top,train,Team14_YellowNotebook_E
images/team14_notebook (16).jpg,stationery_notebook,color:blue;material:unknown;pattern:unknown,new large blue and yellow paperback notebook placed diagonally left,train,Team14_BlueNotebook_A
images/team14_notebook (17).jpg,stationery_notebook,color:blue;material:unknown;pattern:unknown,new large blue and yellow paperback notebook from bottom,train,Team14_BlueNotebook_B
images/team14_notebook (18).jpg,stationery_notebook,color:blue;material:unknown;pattern:unknown,deformed large blue and yellow paperback notebook from top,train,Team14_BlueNotebook_C
images/team14_notebook (19).jpg,stationery_notebook,color:blue;material:unknown;pattern:unknown,new large blue and yello paperback notebook from top,train,Team14_BlueNotebook_D
images/team14_notebook (20).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large open notebook sideways,train,Team14_UnkNotebook_A
images/team14_notebook (21).jpg,stationery_notebook,color:white;material:unknown;pattern:unknown,new large white paperback notebook upside down,train,Team14_WhiteNotebook_A
images/team14_notebook (23).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large open notebook placed diagonally left,train,Team14_UnkNotebook_B
images/team14_notebook (25).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large open notebook upside down,train,Team14_UnkNotebook_C
images/team14_notebook (27).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large open notebook placed diagonally right,train,Team14_UnkNotebook_D
images/team14_notebook (28).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,used large open notebook sideways,train,Team14_UnkNotebook_E
images/team14_notebook (30).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large open notebook from bottom,train,Team14_UnkNotebook_F
images/team14_notebook (31).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large open notebook sideways,val,Team14_UnkNotebook_G
images/team14_notebook (32).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,used medium open notebook placed diagonally right,train,Team14_UnkNotebook_H
images/team14_notebook (33).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large pink and green paperback notebook from top,val,Team14_PinkNotebook_F
images/team14_notebook (34).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large open notebook placed right,val,Team14_UnkNotebook_I
images/team14_notebook (35).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,used large open notebook sideways,val,Team14_UnkNotebook_J
images/team14_notebook (37).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large pink and green paperback notebook placed diagonally right,train,Team14_PinkNotebook_G
images/team14_notebook (38).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large open notebook placed diagonally left,train,Team14_UnkNotebook_K
images/team14_notebook (39).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,used large open notebook placed diagonally left,train,Team14_UnkNotebook_L
images/team14_notebook (42).jpg,stationery_notebook,color:white;material:unknown;pattern:unknown,new medium white paperback notebook flipped over,train,Team14_WhiteNotebook_B
images/team14_notebook (45).jpg,stationery_notebook,color:green;material:unknown;pattern:unknown,deformed large green paperback notebook sideways,val,Team14_GreenNotebook_I
images/team14_notebook (48).jpg,stationery_notebook,color:white;material:unknown;pattern:unknown,new medium white paperback notebook from side,train,Team14_WhiteNotebook_C
images/team14_notebook (49).jpg,stationery_notebook,color:blue;material:unknown;pattern:unknown,new medium blue paperback notebook flipped over,train,Team14_BlueNotebook_E
images/team14_notebook (50).jpg,stationery_notebook,color:green;material:unknown;pattern:unknown,deformed large green paperback notebook from top,train,Team14_GreenNotebook_J
images/team14_notebook (52).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large pink and green paperback notebook placed diagonally left,train,Team14_PinkNotebook_H
images/team14_notebook (54).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,used large open notebook from top,train,Team14_UnkNotebook_M
images/team14_notebook (55).jpg,stationery_notebook,color:white;material:unknown;pattern:unknown,new medium white and blue paperback notebook flipped over,train,Team14_WhiteNotebook_E
images/team14_notebook (58).jpg,stationery_notebook,color:white;material:unknown;pattern:unknown,used large white paperback notebook from bottom,train,Team14_WhiteNotebook_D
images/team14_notebook (59).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large pink and green paperback notebook placed diagonally left,train,Team14_PinkNotebook_I
images/team14_notebook (61).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large pink and green paperback notebook flipped over,train,Team14_PinkNotebook_J
images/team14_notebook (64).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large yellow paperback notebook sideways,train,Team14_YellowNotebook_F
images/team14_notebook (67).jpg,stationery_notebook,color:green;material:unknown;pattern:unknown,new large green and pink paperback notebook flipped over,val,Team14_GreenNotebook_K
images/team14_notebook (68).jpg,stationery_notebook,color:blue;material:unknown;pattern:unknown,new large blue and green paperback notebook sideways,train,Team14_BlueNotebook_L
images/team14_notebook (70).jpg,stationery_notebook,color:green;material:unknown;pattern:unknown,new large green and pink paperback notebook flipped over,train,Team14_GreenNotebook_L
images/team14_notebook (71).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,deformed large yellow paperback notebook,train,Team14_YellowNotebook_G
images/team14_notebook (72).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,deformed large yellow paperback notebook from top,train,Team14_YellowNotebook_H
images/team14_notebook (73).jpg,stationery_notebook,color:blue;material:unknown;pattern:unknown,deformed large blue paperback notebook from front,val,Team14_BlueNotebook_N
images/team14_notebook (74).jpg,stationery_notebook,color:blue;material:unknown;pattern:unknown,deformed large blue paperback notebook sideways,train,Team14_BlueNotebook_O
images/team14_notebook (75).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large yellow and blue paperback notebook from front,val,Team14_YellowNotebook_I
images/team14_notebook (76).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large yellow and blue paperback notebook from bottom,val,Team14_YellowNotebook_J
images/team14_notebook (77).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,used large open notebook from front,train,Team14_UnkNotebook_N
images/team14_notebook (78).jpg,stationery_notebook,color:blue;material:unknown;pattern:unknown,new large blue and pink paperback notebook sideways,val,Team14_BlueNotebook_P
images/team14_notebook (79).jpg,stationery_notebook,color:green;material:unknown;pattern:unknown,new large green and pink paperback notebook from front,train,Team14_GreenNotebook_M
images/team14_notebook (80).jpg,stationery_notebook,color:green;material:unknown;pattern:unknown,new large green and pink paperback notebook flipped over,train,Team14_GreenNotebook_N
images/team14_notebook (81).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large yellow and blue paperback notebook flipped over,train,Team14_YellowNotebook_K
images/team14_notebook (82).jpg,stationery_notebook,color:black;material:plastic;pattern:unknown,deformed medium plastic notebook flipped over,train,Team14_BlackNotebook_I
images/team14_notebook (83).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large purple and yellow paperback notebook flipped over,train,Team14_PurpleNotebook_A
images/team14_notebook (84).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large purple and yellow paperback notebook from top,val,Team14_PurpleNotebook_B
images/team14_notebook (85).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large pink and yellow paperback notebook upside down,val,Team14_PinkNotebook_K
images/team14_notebook (86).jpg,stationery_notebook,color:black;material:plastic;pattern:unknown,deformed medium black plastic notebook flipped over,train,Team14_BlackNotebook_J
images/team14_notebook (87).jpg,stationery_notebook,color:red;material:unknown;pattern:unknown,new large red and purple paperback notebook sideways,train,Team14_RedNotebook_A
images/team14_notebook (88).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large pink and yello paperback notebook sideways,train,Team14_PinkNotebook_L
images/team14_notebook (89).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large pink and yellow paperback notebook,train,Team14_PinkNotebook_M
images/team14_notebook (91).jpg,stationery_notebook,color:red;material:unknown;pattern:unknown,new large red and purple paperback notebook from side,train,Team14_RedNotebook_B
images/team14_notebook (92).jpg,stationery_notebook,color:red;material:unknown;pattern:unknown,new large red and purple paperback notebook flipped over,train,Team14_RedNotebook_C
images/team14_notebook (93).jpg,stationery_notebook,color:red;material:unknown;pattern:unknown,new medium red and purple paperback notebook flipped over,train,Team14_RedNotebook_D
images/team14_notebook (95).jpg,stationery_notebook,color:red;material:unknown;pattern:unknown,new large red and purple paperback notebook sideways,train,Team14_RedNotebook_E
images/team14_notebook (97).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large purple and yellow paperback notebook from front,train,Team14_PurpleNotebook_D
images/team14_notebook (98).jpg,stationery_notebook,color:unknown;material:unknown;pattern:unknown,new large purple and yellow paperback notebook sideways,train,Team14_PurpleNotebook_E
images/team14_water_bottle (1).jpg,tableware_waterbottle,color:silver;material:metal;pattern:unknown,metal waterbottle of large size and used condition,train,TEAM14_SILVERBOTTLE_A
images/team14_water_bottle (2).jpg,tableware_waterbottle,color:transparent;material:unknown;pattern:unknown,glass waterbottle of large size and used condition,train,TEAM14_TRANSPARENTBOTTLE_A
images/team14_water_bottle (3).jpg,tableware_waterbottle,color:black;material:plastic;pattern:unknown,black plastic waterbottle of medium size and used condition,val,TEAM14_BLACKBOTTLE_A
images/team14_water_bottle (4).jpg,tableware_waterbottle,color:silver;material:metal;pattern:unknown,silver metal waterbottle of large size and used condition,train,TEAM14_SILVERBOTTLE_B
images/team14_water_bottle (6).jpg,tableware_waterbottle,color:silver;material:metal;pattern:unknown,silver metal waterbottle of large size and used condition,train,TEAM14_SILVERBOTTLE_C
images/team14_water_bottle (7).jpg,tableware_waterbottle,color:black;material:plastic;pattern:unknown,black plastic waterbottle of medium size and used condition,train,TEAM14_BLACKBOTTLE_B
images/team14_water_bottle (8).jpg,tableware_waterbottle,color:blue;material:plastic;pattern:unknown,blue plastic waterbottle of large size and used condition,train,TEAM14_BLUEBOTTLE_C
images/team14_water_bottle (9).jpg,tableware_waterbottle,color:black;material:plastic;pattern:unknown,black plastic waterbottle of small size and used condition,train,TEAM14_BLACKBOTTLE_C
images/team14_water_bottle (10).jpg,tableware_waterbottle,color:silver;material:metal;pattern:unknown,silver metal waterbottle of large size and used condition,train,TEAM14_SILVERBOTTLE_D
images/team14_water_bottle (11).jpg,tableware_waterbottle,color:black;material:plastic;pattern:unknown,black plastic waterbottle of small size and used condition,train,TEAM14_BLACKBOTTLE_D
images/team14_water_bottle (12).jpg,tableware_waterbottle,color:blue;material:plastic;pattern:unknown,blue plastic waterbottle of small size and used condition,train,TEAM14_BLUEBOTTLE_D
images/team14_water_bottle (13).jpg,tableware_waterbottle,color:black;material:plastic;pattern:unknown,silver plastic waterbottle of large size and used condition,val,TEAM14_BLACKBOTTLE_AP
images/team14_water_bottle (14).jpg,tableware_waterbottle,color:black;material:plastic;pattern:unknown,black plastic metal waterbottle of small size and used condition,train,TEAM14_BLACKBOTTLE_E
images/team14_water_bottle (15).jpg,tableware_waterbottle,color:silver;material:metal;pattern:unknown,silver metal waterbottle of large size and used condition,train,TEAM14_SILVERBOTTLE_E
images/team14_water_bottle (17).jpg,tableware_waterbottle,color:black;material:metal;pattern:unknown,black metal waterbottle of medium size and used condition,train,TEAM14_BLACKBOTTLE_F
images/team14_water_bottle (18).jpg,tableware_waterbottle,color:black;material:metal;pattern:unknown,black metal waterbottle of medium size and used condition,train,TEAM14_BLACKBOTTLE_G
images/team14_water_bottle (19).jpg,tableware_waterbottle,color:black;material:metal;pattern:unknown,black metal waterbottle of large size and used condition,train,TEAM14_BLACKBOTTLE_H
images/team14_water_bottle (20).jpg,tableware_waterbottle,color:black;material:plastic;pattern:unknown,black plastic waterbottle of small size and used condition,train,TEAM14_BLACKBOTTLE_I
images/team14_water_bottle (21).jpg,tableware_waterbottle,color:black;material:plastic;pattern:unknown,black plastic waterbottle of large size and new condition,train,TEAM14_BLACKBOTTLE_J
